Student Name	Institute	Program Name	Gender
Student_1	MSIS	AIML	Boy
Student_2	MSIS	BDA	Girl
Student_3	MSIS	VLSI	Boy
Student_4	MSIS	BDA	Girl
Student_5	MSIS	VLSI	Boy
Student_6	MSIS	AIML	Boy
Student_7	MSIS	VLSI	Girl
Student_8	MSIS	VLSI	Girl
Student_9	MSIS	BDA	Girl
Student_10	MSIS	BDA	Girl
Student_11	MSIS	BDA	Girl
Student_12	MSIS	AIML	Girl
Student_13	MSIS	VLSI	Boy
Student_14	MSIS	VLSI	Girl
Student_15	MSIS	VLSI	Boy
Student_16	MSIS	BDA	Girl
Student_17	MSIS	VLSI	Girl
Student_18	MSIS	VLSI	Girl
Student_19	MSIS	VLSI	Boy
Student_20	MSIS	VLSI	Boy
Student_21	MSIS	AIML	Boy
Student_22	MSIS	AIML	Girl
Student_23	MSIS	BDA	Girl
Student_24	MSIS	AIML	Boy
Student_25	MSIS	AIML	Boy
Student_26	MSIS	AIML	Boy
Student_27	MSIS	AIML	Girl
Student_28	MSIS	BDA	Girl
Student_29	MSIS	VLSI	Girl
Student_30	MSIS	BDA	Girl
Student_31	MSIS	VLSI	Girl
Student_32	MSIS	VLSI	Boy
Student_33	MSIS	BDA	Boy
Student_34	MSIS	VLSI	Girl
Student_35	MSIS	BDA	Boy
Student_36	MSIS	BDA	Boy
Student_37	MSIS	AIML	Boy
Student_38	MSIS	AIML	Boy
Student_39	MSIS	BDA	Boy
Student_40	MSIS	BDA	Girl
Student_41	MSIS	AIML	Boy
Student_42	MSIS	VLSI	Boy
Student_43	MSIS	AIML	Girl
Student_44	MSIS	BDA	Boy
Student_45	MSIS	VLSI	Boy
Student_46	MSIS	BDA	Girl
Student_47	MSIS	AIML	Girl
Student_48	MSIS	AIML	Boy
Student_49	MSIS	AIML	Boy
Student_50	MSIS	BDA	Girl
Student_51	MSIS	AIML	Boy
Student_52	MSIS	BDA	Boy
Student_53	MSIS	VLSI	Girl
Student_54	MSIS	BDA	Girl
Student_55	MSIS	VLSI	Girl
Student_56	MSIS	VLSI	Girl
Student_57	MSIS	VLSI	Boy
Student_58	MSIS	VLSI	Boy
Student_59	MSIS	VLSI	Boy
Student_60	MSIS	VLSI	Girl
Student_61	MSIS	AIML	Girl
Student_62	MSIS	AIML	Boy
Student_63	MSIS	AIML	Girl
Student_64	MSIS	AIML	Girl
Student_65	MSIS	BDA	Girl
Student_66	MSIS	BDA	Girl
Student_67	MSIS	AIML	Girl
Student_68	MSIS	VLSI	Girl
Student_69	MSIS	AIML	Boy
Student_70	MSIS	AIML	Girl
Student_71	MSIS	AIML	Boy
Student_72	MSIS	AIML	Girl
Student_73	MSIS	VLSI	Boy
Student_74	MSIS	VLSI	Boy
Student_75	MSIS	BDA	Girl
Student_76	MSIS	BDA	Boy
Student_77	MSIS	AIML	Girl
Student_78	MSIS	BDA	Girl
Student_79	MSIS	AIML	Boy
Student_80	MSIS	VLSI	Boy
Student_81	MSIS	VLSI	Boy
Student_82	MSIS	VLSI	Girl
Student_83	MSIS	BDA	Boy
Student_84	MSIS	AIML	Boy
Student_85	MSIS	BDA	Girl
Student_86	MSIS	VLSI	Girl
Student_87	MSIS	BDA	Girl
Student_88	MSIS	VLSI	Girl
Student_89	MSIS	BDA	Boy
Student_90	MSIS	AIML	Girl
Student_91	BTech	CSE	Girl
Student_92	BTech	ME	Boy
Student_93	BTech	CSE	Girl
Student_94	BTech	ECE	Boy
Student_95	BTech	ENE	Girl
Student_96	BTech	ENE	Girl
Student_97	BTech	ME	Boy
Student_98	BTech	ENE	Boy
Student_99	BTech	ENE	Boy
Student_100	BTech	ECE	Boy
Student_101	BTech	ME	Girl
Student_102	BTech	CSE	Boy
Student_103	BTech	CSE	Boy
Student_104	BTech	CSE	Boy
Student_105	BTech	ENE	Girl
Student_106	BTech	ENE	Boy
Student_107	BTech	ME	Girl
Student_108	BTech	ME	Girl
Student_109	BTech	CSE	Girl
Student_110	BTech	ME	Boy
Student_111	BTech	ME	Girl
Student_112	BTech	ME	Boy
Student_113	BTech	ME	Girl
Student_114	BTech	ME	Girl
Student_115	BTech	ME	Girl
Student_116	BTech	ECE	Boy
Student_117	BTech	ENE	Girl
Student_118	BTech	ECE	Boy
Student_119	BTech	ENE	Boy
Student_120	BTech	ECE	Girl
Student_121	BTech	CSE	Girl
Student_122	BTech	ENE	Girl
Student_123	BTech	ME	Girl
Student_124	BTech	CSE	Girl
Student_125	BTech	ENE	Boy
Student_126	BTech	ECE	Boy
Student_127	BTech	CSE	Boy
Student_128	BTech	ME	Boy
Student_129	BTech	ENE	Boy
Student_130	BTech	CSE	Boy
Student_131	BTech	ENE	Girl
Student_132	BTech	ME	Girl
Student_133	BTech	ME	Boy
Student_134	BTech	ENE	Boy
Student_135	BTech	ECE	Boy
Student_136	BTech	CSE	Boy
Student_137	BTech	CSE	Boy
Student_138	BTech	ECE	Girl
Student_139	BTech	ME	Boy
Student_140	BTech	ECE	Boy
Student_141	ICAS	CSE	Girl
Student_142	ICAS	CSE	Boy
Student_143	ICAS	CSE	Boy
Student_144	ICAS	CSE	Girl
Student_145	ICAS	CSE	Girl
Student_146	ICAS	CSE	Girl
Student_147	ICAS	CSE	Boy
Student_148	ICAS	CSE	Girl
Student_149	ICAS	CSE	Boy
Student_150	ICAS	CSE	Boy
Student_151	ICAS	CSE	Boy
Student_152	ICAS	CSE	Boy
Student_153	ICAS	CSE	Boy
Student_154	ICAS	CSE	Boy
Student_155	ICAS	CSE	Girl
Student_156	ICAS	CSE	Boy
Student_157	ICAS	CSE	Girl
Student_158	ICAS	CSE	Boy
Student_159	ICAS	CSE	Boy
Student_160	ICAS	CSE	Girl
Student_161	MTech	DS	Boy
Student_162	MTech	EV	Girl
Student_163	MTech	EV	Boy
Student_164	MTech	EV	Boy
Student_165	MTech	EV	Girl
Student_166	MTech	DS	Boy
Student_167	MTech	CSE	Boy
Student_168	MTech	EV	Boy
Student_169	MTech	CSE	Boy
