,Current,Fc,Tc,Tr,Tj
0,12.0,0.5,32.11139054,35.44429316,31.24789072
1,12.0,0.5,32.26377286,34.94691726,31.55265536
2,12.0,0.5,32.13678759,35.41320716,31.60344947
3,12.0,0.5,32.41615518,35.35103518,31.93361116
4,12.0,0.5,32.11139054,35.41320716,31.57805241
5,12.0,0.5,32.26377286,35.44429316,31.8066259
6,12.0,0.5,32.13678759,35.2266912,31.50186125
7,12.0,0.5,32.41615518,35.81732508,31.45106715
8,12.0,0.5,32.21297875,35.38212117,31.42567009
9,12.0,0.5,32.31456697,35.38212117,30.84153786
10,12.0,0.5,32.11139054,35.28886319,31.57805241
11,12.0,0.5,32.13678759,35.56863713,31.67964063
12,12.0,0.5,32.08599348,35.07126124,31.45106715
13,12.0,0.5,31.75583179,35.38212117,31.29868483
14,12.0,0.5,32.13678759,35.13343322,31.50186125
15,12.0,0.5,32.31456697,35.38212117,31.55265536
16,12.0,0.5,31.85742,35.38212117,30.94312608
17,12.0,0.5,32.26377286,34.94691726,31.37487599
18,12.0,0.5,32.11139054,35.2266912,31.57805241
19,12.0,0.5,32.08599348,35.28886319,31.45106715
20,12.0,0.5,32.08599348,35.38212117,30.48597911
21,12.0,0.5,32.21297875,35.53755114,31.60344947
22,12.0,0.5,32.21297875,35.44429316,30.73994965
23,12.0,0.5,31.90821411,35.41320716,31.45106715
24,12.0,0.5,32.33996402,35.69298111,31.24789072
25,12.0,0.5,32.13678759,35.13343322,31.50186125
26,12.0,0.5,32.41615518,35.10234723,31.70503768
27,12.0,0.5,32.33996402,35.41320716,31.22249367
28,12.0,0.5,32.21297875,35.13343322,31.65424357
29,12.0,0.5,32.33996402,35.78623909,31.60344947
30,12.0,0.5,32.08599348,35.41320716,31.45106715
31,12.0,0.5,32.23837581,35.63080912,31.1463025
32,12.0,0.5,32.11139054,35.13343322,31.57805241
33,12.0,0.5,31.90821411,35.13343322,31.1463025
34,12.0,0.5,32.69552277,35.38212117,31.22249367
35,12.0,0.5,32.23837581,35.44429316,31.50186125
36,12.0,0.5,32.13678759,35.44429316,31.60344947
37,12.0,0.5,31.90821411,35.13343322,30.73994965
38,12.0,0.5,32.26377286,35.13343322,32.16218464
39,12.0,0.5,32.26377286,35.2577772,31.60344947
40,12.0,0.5,31.85742,35.78623909,31.45106715
41,12.0,0.5,32.13678759,35.28886319,31.12090545
42,12.0,0.5,32.33996402,35.13343322,31.60344947
43,12.0,0.5,31.75583179,35.2577772,31.42567009
44,12.0,0.5,31.98440527,35.44429316,31.29868483
45,12.0,0.5,32.13678759,35.2266912,31.50186125
46,12.0,0.5,32.26377286,35.44429316,31.60344947
47,12.0,0.5,32.26377286,35.38212117,31.24789072
48,12.0,0.5,32.23837581,35.2266912,31.57805241
49,12.0,0.5,32.00980232,35.2266912,31.4764642
50,12.0,0.5,32.23837581,35.41320716,31.57805241
51,12.0,0.5,32.36536107,35.44429316,31.60344947
52,12.0,0.5,32.26377286,35.41320716,31.45106715
53,12.0,0.5,32.33996402,35.38212117,31.57805241
54,12.0,0.5,32.11139054,35.2266912,31.50186125
55,12.0,0.5,32.11139054,35.2577772,30.79074376
56,12.0,0.5,32.26377286,35.63080912,31.60344947
57,12.0,0.5,32.23837581,35.44429316,31.57805241
58,12.0,0.5,32.23837581,35.13343322,31.57805241
59,12.0,0.5,32.13678759,35.44429316,31.55265536
60,12.0,0.5,31.98440527,35.44429316,31.50186125
61,12.0,0.5,32.00980232,35.13343322,31.60344947
62,12.0,0.5,31.98440527,35.13343322,31.1463025
63,12.0,0.5,32.13678759,35.35103518,31.57805241
64,12.0,0.5,31.75583179,35.35103518,31.45106715
65,12.0,0.5,32.26377286,35.63080912,31.70503768
66,12.0,0.5,32.33996402,35.44429316,31.60344947
67,12.0,0.5,32.11139054,35.44429316,31.50186125
68,12.0,0.5,32.21297875,35.10234723,31.37487599
69,12.0,0.5,32.00980232,35.35103518,31.60344947
70,12.0,0.5,32.26377286,35.63080912,31.60344947
71,12.0,0.5,32.13678759,35.44429316,31.42567009
72,12.0,0.5,32.33996402,35.38212117,31.60344947
73,12.0,0.5,32.13678759,35.13343322,31.57805241
74,12.0,0.5,31.90821411,35.13343322,31.22249367
75,12.0,0.5,31.88281706,35.44429316,31.29868483
76,12.0,0.5,32.08599348,35.38212117,31.60344947
77,12.0,0.5,32.13678759,35.69298111,31.57805241
78,12.0,0.5,32.44155223,36.09709902,31.37487599
79,12.0,0.5,31.98440527,35.44429316,31.60344947
80,12.0,0.5,32.11139054,35.63080912,31.24789072
81,12.0,0.5,31.90821411,35.50646515,31.29868483
82,12.0,0.5,32.08599348,35.44429316,31.60344947
83,12.0,0.5,32.13678759,35.56863713,30.79074376
84,12.0,0.5,31.62884652,35.63080912,31.60344947
85,12.0,0.5,32.08599348,35.81732508,31.60344947
86,12.0,0.5,32.23837581,35.44429316,31.55265536
