PC      Variance_Explained 	Cumulative_Variance
PC1	0.162570757		0.1625708		
PC2	0.133007319		0.2955781		
PC3	0.093050056		0.3886281		
PC4	0.082768551		0.4713967		
PC5	0.068800754		0.5401974		
PC6	0.064807270		0.6050047		
PC7	0.058375365		0.6633801		
PC8	0.051632032		0.7150121		
PC9	0.050391883		0.7654040		
PC10	0.046679712		0.8120837	
PC11	0.040262674		0.8523464		
PC12	0.037811435		0.8901578		
PC13	0.034738974		0.9248968		
PC14	0.030174315		0.9550711		
PC15	0.023677299		0.9787484		
PC16	0.013501665		0.9922501		
PC17	0.007749939		1.0000000
