LDRX,LANGPI DEHANGI RURAL BANK,AGVX,ASSAM GRAMIN VIKASH BANK
NSIX,NAGRIK SAHAKARI BANK LTD INDORE,AKOX,THE AKOLA URBAN CO OP BANK LTD
AUGX,ALLAHABAD UP GRAMIN BANK,ARYX,ARYAVART BANK
VIJB,VIJAYA BANK,BARB,BANK OF BARODA
BKDN,DENA BANK,BARB,BANK OF BARODA
DEGX,DENA GUJARAT GRAMIN BANK,BGGX,BARODA GUJARAT GRAMIN BANK
KCBX,KUTCH CO OP BANK LTD,BHJX,THE BHUJ MERCENTILE CO OP BANK LTD
KGSX,KASHI GOMTI SAMYUT GRAMIN BANK,BUGX,BARODA UTTAR PRADESH GRAMIN BANK
PURX,PURVANCHAL GRAMIN BANK,BUGX,BARODA UTTAR PRADESH GRAMIN BANK
SYNB,SYNDICATE BANK,CNRB,CANARA BANK
SSHX,SHREE SHARADA SAHAKARI BANK LTD,COSB,THE COSMOS CO-OPERATIVE BANK LTD
LAVB,THE LAKSHMI VILAS BANK LTD,DBSS,DBS BANK INDIA LTD
ALLA,ALLAHABAD BANK,IDIB,INDIAN BANK
GDDX,THE GIRIDIH CENTRAL CO OP BANK LTD,JSCX,JHARKHAND STATE CO OP BANK LTD
RKCX,THE RANCHI KHUNTI CENTRAL CO OP BANK LTD,JSCX,JHARKHAND STATE CO OP BANK LTD
HCCX,THE HAZARIBAG CENTRAL CO OP BANK LTD,JSCX,JHARKHAND STATE CO OP BANK LTD
DUMX,DUMKA CENTRAL CO OP BANK LTD,JSCX,JHARKHAND STATE CO OP BANK LTD
DJCX,DEOGHAR JAMTARA CENTRAL CO OP BANK DEOGHAR,JSCX,JHARKHAND STATE CO OP BANK LTD
SIGX,THE SINGHBHUM DISTRICT CENTRAL CO OP BANK,JSCX,JHARKHAND STATE CO OP BANK LTD
GSCX,THE GUMLA SIMDEGA CENTRAL CO OP BANK LTD,JSCX,JHARKHAND STATE CO OP BANK LTD
VRDX,THE VARDHAMAN CO OP BANK LTD,JUCX,THE JUNAGADH COMMERCIAL CO OP BANK LTD
SIDX,SIDDHI CO OP BANK LTD,KCCB,THE KALUPUR COMMERCIAL CO OP BANK
VYSA,ING VYSYA BANK LTD,KKBK,KOTAK MAHINDRA BANK LTD
WDCX,THE WAYANAD DISTRICT CO OP BANK LTD ,KSCX,KERALA STATE CO OP BANK LTD
KLMX,THE KOLLAM DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
KADX,THE KASARAGOD DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
TKDX,THE KANNUR DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
IDUX,IDUKKI DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
EDSX,THE ERNAKULAM DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
TNDC,THE THIRUVANANTHAPURAM DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
PATX,PATHANMTHITTA DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
TDCX,THRISSUR DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
KTBX,THE KOTTAYAM DISTRICT CO OP BANK LTD ,KSCX,KERALA STATE CO OP BANK LTD
PKDX,THE PALAKKAD DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
KDCX,KOZHIKODE DISTRICT CO OP BANK,KSCX,KERALA STATE CO OP BANK LTD
APCX,THE ALAPPUZHA DISTRICT CO OP BANK LTD,KSCX,KERALA STATE CO OP BANK LTD
BGBX,BIHAR GRAMIN BANK,MBGX,DAKSHIN BIHAR GRAMIN BANK
CMPX,CENTRAL MADHYA PRADESH GRAMIN BANK,NJGX,MADHYA PRADESH GRAMIN BANK
PDNX,PANDYAN GRAMA BANK,PABX,TAMIL NADU GRAMA BANK
KGBX,KAVERI GRAMEENA BANK,PGBX,KARNATAKA GRAMIN BANK
TBTX,THE BARODA TRADERS CO OP BANK LTD,PMEC,PRIME CO OP BANK LTD
MGRB,MALWA GRAMIN BANK,PUGX,PUNJAB GRAMIN BANK
SJGX,SUTLEJ GRAMIN BANK,PUGX,PUNJAB GRAMIN BANK
ORBC,ORIENTAL BANK OF COMMERCE,PUNB,PUNJAB NATIONAL BANK
UTBI,UNITED BANK OF INDIA,PUNB,PUNJAB NATIONAL BANK
BMBL,BHARTIYA MAHILA BANK,SBIN,STATE BANK OF INDIA
SBHY,STATE BANK OF HYDERABAD,SBIN,STATE BANK OF INDIA
SBBJ,STATE BANK OF BIKANER AND JAIPUR,SBIN,STATE BANK OF INDIA
SBTR,STATE BANK OF TRAVANCORE,SBIN,STATE BANK OF INDIA
SBMY,STATE BANK OF MYSORE,SBIN,STATE BANK OF INDIA
STBP,STATE BANK OF PATIALA,SBIN,STATE BANK OF INDIA
PRTH,PRATHAMA BANK,SUBX,PRATHAMA UP GRAMIN BANK
CORP,CORPORATION BANK,UBIN,UNION BANK OF INDIA
ANDB,ANDHRA BANK,UBIN,UNION BANK OF INDIA
SALX,THE SALAL SARVODAYA NAGARIK SAHAKARI BANK LTD,VARA,THE VARACHHA CO OP BANK LTD
JGBX,JHARKAND GRAMIN BANK,VGBX,JHARKHAND RAJYA GRAMIN BANK
