Bank Code,IFSC,MICR,Bank Name
AACX,HDFC0CAACOB,380437000,AKHAND ANAND CO OP BANK LTD
AACX,HDFC0CAACOB,395437000,AKHAND ANAND CO OP BANK LTD
AACX,HDFC0CAACOB,395437003,AKHAND ANAND CO OP BANK LTD
AACX,HDFC0CAACOB,395437004,AKHAND ANAND CO OP BANK LTD
AACX,HDFC0CAACOB,395437005,AKHAND ANAND CO OP BANK LTD
AACX,HDFC0CAACOB,395437006,AKHAND ANAND CO OP BANK LTD
ABCX,YESB0AURDCC,431579000,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579003,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579004,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579005,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579006,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579007,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579008,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579009,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579010,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579011,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579012,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579013,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579014,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579015,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579016,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579017,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579018,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579019,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579020,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABCX,YESB0AURDCC,431579021,THE AURANGABAD DISTRICT CENTRAL CO OP BANK LTD
ABSB,SVCB0007002,SVCB0007003,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007004,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007005,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007006,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007007,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007008,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007009,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007010,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007011,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007012,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007013,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007014,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007015,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007016,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007017,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,SVCB0007018,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345002,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345003,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345004,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345005,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345006,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345007,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345008,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345009,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345010,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345011,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345012,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345013,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345014,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345015,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345016,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345017,THE ABHINAV SAHAKARI BANK LTD
ABSB,SVCB0007002,400345018,THE ABHINAV SAHAKARI BANK LTD
ABUX,HDFC0CMAN01,HDFC0CACH05,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,HDFC0CBAD03,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,HDFC0CCBB06,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,HDFC0CDRB07,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,HDFC0CNAG08,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,HDFC0CNCM04,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,HDFC0CNGP08,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,HDFC0CPWD02,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,440885002,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444801101,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444801102,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444801103,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444885052,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444885053,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444885102,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444885103,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444885501,ABHINANDAN URBAN CO OP BANK AMRAVATI
ABUX,HDFC0CMAN01,444885502,ABHINANDAN URBAN CO OP BANK AMRAVATI
ACAX,HDFC0CACABL,781117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117003,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117004,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117005,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117006,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117007,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117102,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117152,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117202,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117302,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117402,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117503,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,781117504,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117102,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117202,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117302,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117503,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117504,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,782117505,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117102,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117202,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117302,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117503,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117504,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,783117505,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117102,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117152,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117202,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117302,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117402,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117503,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117504,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117505,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117506,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,784117507,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,785117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,785117102,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,785117202,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,785117402,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,785117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,785117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,785117503,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117003,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117152,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117202,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117252,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117302,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,786117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,787117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,787117102,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,787117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,787117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,787117503,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117102,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117202,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117302,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117501,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117502,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117503,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788117504,THE ASSAM CO OPERATIVE APEX BANK LTD
ACAX,HDFC0CACABL,788177002,THE ASSAM CO OPERATIVE APEX BANK LTD
ACBX,HDFC0CADARS,302426251,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302426252,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302426253,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302532251,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302532252,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302532253,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302575251,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302575252,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,302575253,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,305575002,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,305575003,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,305575004,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,306575002,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,306575025,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,306575125,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575002,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575003,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575025,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575026,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575027,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575028,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575029,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575050,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575051,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575052,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575053,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575054,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575055,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,307575075,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,312575002,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,313575001,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,313575002,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,313575003,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,343575002,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,343575025,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,343575050,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,363575001,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,363575002,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,363575003,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,363575004,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,363575091,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,363575111,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,363575501,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,380240253,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,380575000,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,385575001,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,385575031,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,385575032,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,385575033,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,385575034,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,385575081,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,385575501,ADARSH CO OPERATIVE BANK LTD
ACBX,HDFC0CADARS,395575000,ADARSH CO OPERATIVE BANK LTD
ACCX,IBKL0100ACB,ACEB0000002,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000003,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000004,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000005,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,ACEB0000006,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082456,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082579,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082580,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082581,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400082582,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876003,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876004,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876005,ACE CO OP BANK LTD
ACCX,IBKL0100ACB,400876006,ACE CO OP BANK LTD
ACKX,HDFC0CDACUB,416403003,DR ANNASAHEB CHOUGULE URBAN CO OP BANK LTD
ACKX,HDFC0CDACUB,416403004,DR ANNASAHEB CHOUGULE URBAN CO OP BANK LTD
ACKX,HDFC0CDACUB,416403005,DR ANNASAHEB CHOUGULE URBAN CO OP BANK LTD
ACOX,HDFC0CAMARN,UTIB0SAMB01,AMARNATH CO OP BANK LTD
ACOX,HDFC0CAMARN,380809000,AMARNATH CO OP BANK LTD
ACOX,HDFC0CAMARN,380809002,AMARNATH CO OP BANK LTD
ACOX,HDFC0CAMARN,380809003,AMARNATH CO OP BANK LTD
ACUB,HDFC0CACUB9,ICIC00ACUBL,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820102,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820103,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820104,THE ARYAPURAM CO OP URBAN BANK LTD
ACUB,HDFC0CACUB9,533820105,THE ARYAPURAM CO OP URBAN BANK LTD
